Rad-nummer	Vårtfacit	Compere	DKAB	Menigo	Hantera	MS	Slask1	Typ1	Slask2	Typ2	Slask3	Typ3	Slask4	Typ4	Slask5	Typ5	Slask6	Typ6	Slask7	Typ7	Slask8	Typ8	Slask9	Typ9	Slask10	Typ10	Slask11	Typ11	Slask12	Typ12	Slask13	Typ13	Slask14	Typ14	Slask15	Typ15	Slask16	Typ16	Slask17	Typ17	Slask18	Typ18	Slask19	Typ19	Slask20	Typ20	Slask21	Typ21	Slask22	Typ22	Slask23	Typ23	Slask24	Typ24	Slask25	Typ25	Slask26	Typ26	Slask27	Typ27	Slask28	Typ28	Slask29	Typ29	Slask30	Typ30	Slask31	Typ31	Slask32	Typ32	Slask33	Typ33	Slask34	Typ34	Slask35	Typ35	Slask36	Typ36	Slask37	Typ37	Slask38	Typ38	Slask39	Typ39	Slask40	Typ40	Slask41	Typ41	Slask42	Typ42	Slask43	Typ43	Slask44	Typ44	Slask45	Typ45	Slask46	Typ46	Slask47	Typ47	Slask48	Typ48	Slask49	Typ49	Slask50	Typ50
70	Plast och Fryspåsar	Plast och Fryspåsar	Plast-/fryspåsar		Plast-/fryspåsar	Plast- och Fryspåsar          																																																																																																				
71	Potatis	Potatis	Potatis	Potatis                       	Potatis	Potatis bak                   	Potatis färsk                 	M&S	Potatis förkokt               	M&S	Potatis mat                   	M&S	Potatis skalad                	M&S	Potatis udda	M&S	Potatiskonserver              	M&S	Rotfrukt                      	M&S	Rotfrukt bearbetat            	M&S																																																																																				
72	Potatismos, Rotmos pulver	Potatismos, Rotmos pulver	Potatismos/Rotmos pulver	Potatismos, rotmos            	Potatismos/rotmos pulver	Potatismos- och rotmospulver  																																																																																																				
73	Potatisprodukter	Potatisprodukter	Potatisprodukter		Potatisprodukter	Potatisprodukter/ej pommes  df	Pommes                        	M&S	Pommes frites                 	M&S	Potatis rotfrukter behandlade 	Menigo	Potatisprodukter, övriga      	Menigo	Pommes frites               df	M&S	Pommes frites färsk           	Potatisbullar, raggmunk, mos  	Menigo																																																																																							
74	Pureér	Pureér	Puréer	Puréer                        	Puréer	"Puréer;bär,grönsaker,timbaler "																																																																																																				
75	Pytter, Wokrätter	Pytter, Wokrätter	Pytter/Wokrätter	Pytt i panna, risrätter       	Pytter/wokrätter	Pytt                        df																																																																																																				
76	Påsar, bärkassar	Påsar, bärkassar	Påsar,bärkassar		Påsar,bärkassar	Påsar, bärkassar																																																																																																				
77	Rengöring, Putsmedel	Rengöring, Putsmedel	Rengörings-/putsmedel	Rengöring/desinficeringsmedel 	Rengörings-/putsmedel	Rengörings-putsmedel          																																																																																																				
78	Ris	Ris	Ris		Ris	"Ris; långkornigt"	Risgryn	Menigo	"Ris; rundkornigt              "	M&S																																																																																																
79	Salt	Salt	Salt	Salt	Salt	Salt																																																																																																				
80	Senaps - och Tomatprodukter	Senaps - och Tomatprodukter	Senaps- och tomatprodukter	Senaps- och tomatprodukter	Senaps- och tomatprodukter	Ketchup                       																																																																																																				
81	Servetter,Servettställ	Servetter,Servettställ	Servetter,servettställ,dispenser	Servetter och övrigt	Servetter,servettställ,dispenser	Servetter,Servettställ,Dispens																																																																																																				
82	Fisk/skaldjur	Skaldjur	Skaldjur	Skaldjursprodukter	Skaldjur	Räkor                       df	Skaldjurskonserver, lakeräkor 	M&S	Skaldjur övrigt             df	M&S	Konserver, skaldjur           	Menigo	Fisk skaldjur               fv	M&S																																																																																												
83	Snacks	Snacks	Snacks	Snacksprodukter	Snacks	Chips,jordn,snacks,fruktgodis 																																																																																																				
